2021-02-22	2102.11107v1	Towards Causal Representation Learning	Bernhard Schölkopf; Francesco Locatello; Stefan Bauer; Nan Rosemary Ke; Nal Kalchbrenner; Anirudh Goyal; Yoshua Bengio
2021-02-24	2102.12353v6	Nonlinear Invariant Risk Minimization: A Causal Approach	Chaochao Lu; Yuhuai Wu; Jośe Miguel Hernández-Lobato; Bernhard Schölkopf
2021-05-25	2105.11839v3	DiBS: Differentiable Bayesian Structure Learning	Lars Lorch; Jonas Rothfuss; Bernhard Schölkopf; Andreas Krause
2021-06-07	2106.03340v1	Instrument Space Selection for Kernel Maximum Moment Restriction	Rui Zhang; Krikamol Muandet; Bernhard Schölkopf; Masaaki Imaizumi
2021-06-07	2106.03443v2	Causal Influence Detection for Improving Efficiency in Reinforcement Learning	Maximilian Seitzer; Bernhard Schölkopf; Georg Martius
2021-06-08	2106.04619v4	Self-Supervised Learning with Data Augmentations Provably Isolates Content from Style	Julius von Kügelgen; Yash Sharma; Luigi Gresele; Wieland Brendel; Bernhard Schölkopf; Michel Besserve; Francesco Locatello
2021-06-09	2106.05200v3	Independent mechanism analysis, a new concept?	Luigi Gresele; Julius von Kügelgen; Vincent Stimper; Bernhard Schölkopf; Michel Besserve
2021-06-11	2106.06196v2	CausalAdv: Adversarial Robustness through the Lens of Causality	Yonggang Zhang; Mingming Gong; Tongliang Liu; Gang Niu; Xinmei Tian; Bo Han; Bernhard Schölkopf; Kun Zhang
2021-06-22	2106.11849v1	Algorithmic Recourse in Partially and Fully Confounded Settings Through Bounding Counterfactual Effects	Julius von Kügelgen; Nikita Agarwal; Jakob Zeitler; Afsaneh Mastouri; Bernhard Schölkopf
2021-06-29	2106.15063v2	The unpopular Package: a Data-driven Approach to De-trend TESS Full Frame Image Light Curves	Soichiro Hattori; Daniel Foreman-Mackey; David W. Hogg; Benjamin T. Montet; Ruth Angus; T. A. Pritchard; Jason L. Curtis; Bernhard Schölkopf
2021-06-30	2106.16091v4	Exploring the Latent Space of Autoencoders with Interventional Assays	Felix Leeb; Stefan Bauer; Michel Besserve; Bernhard Schölkopf
2021-09-06	2109.02429v2	Learning Neural Causal Models with Active Interventions	Nino Scherrer; Olexa Bilaniuk; Yashas Annadani; Anirudh Goyal; Patrick Schwab; Bernhard Schölkopf; Michael C. Mozer; Yoshua Bengio; Stefan Bauer; Nan Rosemary Ke
2021-09-13	2109.06093v3	Direct Advantage Estimation	Hsiao-Ru Pan; Nico Gürtler; Alexander Neitz; Bernhard Schölkopf
2021-10-07	2110.03618v2	Causal Direction of Data Collection Matters: Implications of Causal and Anticausal Learning for NLP	Zhijing Jin; Julius von Kügelgen; Jingwei Ni; Tejas Vaidhya; Ayush Kaushal; Mrinmaya Sachan; Bernhard Schölkopf
2021-10-11	2110.05304v1	You Mostly Walk Alone: Analyzing Feature Attribution in Trajectory Prediction	Osama Makansi; Julius von Kügelgen; Francesco Locatello; Peter Gehler; Dominik Janzing; Thomas Brox; Bernhard Schölkopf
2021-10-13	2110.06562v2	Unsupervised Object Learning via Common Fate	Matthias Tangemann; Steffen Schneider; Julius von Kügelgen; Francesco Locatello; Peter Gehler; Thomas Brox; Matthias Kümmerer; Matthias Bethge; Bernhard Schölkopf
